design_point,iteration,LaunchRequestName,MissionLoadoutName,BeginLaunchWindow,EndLaunchWindow,AircraftTypeName,quantityLaunched,MinAircraft,proportionExecuted,SortieDurationInHoursDistribution
2,8,SortieRequest16,TankerLoad,800000,810000,tanker,4,4,1.0,"triangle,4,5,6"
2,8,SortieRequest17,BomberLoad,850000,860000,bomber,1,2,0.5,"triangle,6,8,12"
2,8,SortieRequest17,FighterLoad1,850000,860000,fighter,5,8,0.625,"triangle,5,6,8"
2,8,SortieRequest17,TankerLoad,850000,860000,tanker,6,6,1.0,"triangle,4,5,6"
4,1,SortieRequest1,BomberLoad,50000,60000,bomber,0,2,0.0,"triangle,6,8,12"
4,1,SortieRequest1,FighterLoad1,50000,60000,fighter,8,8,1.0,"triangle,5,6,8"
4,1,SortieRequest1,TankerLoad,50000,60000,tanker,6,6,1.0,"triangle,4,5,6"
4,1,SortieRequest2,FighterLoad2,100000,110000,fighter,4,4,1.0,"triangle,3,4,5"
4,1,SortieRequest2,TankerLoad,100000,110000,tanker,4,4,1.0,"triangle,4,5,6"
4,1,SortieRequest3,BomberLoad,150000,160000,bomber,2,2,1.0,"triangle,6,8,12"
4,1,SortieRequest3,FighterLoad1,150000,160000,fighter,8,8,1.0,"triangle,5,6,8"
4,1,SortieRequest3,TankerLoad,150000,160000,tanker,10,6,1.6666666666666667,"triangle,4,5,6"
4,1,SortieRequest4,FighterLoad2,200000,210000,fighter,1,4,0.25,"triangle,3,4,5"
4,1,SortieRequest4,TankerLoad,200000,210000,tanker,0,4,0.0,"triangle,4,5,6"
4,1,SortieRequest5,BomberLoad,250000,260000,bomber,0,2,0.0,"triangle,6,8,12"
4,1,SortieRequest5,FighterLoad1,250000,260000,fighter,8,8,1.0,"triangle,5,6,8"
4,1,SortieRequest5,TankerLoad,250000,260000,tanker,7,6,1.1666666666666667,"triangle,4,5,6"
4,1,SortieRequest6,FighterLoad2,300000,310000,fighter,4,4,1.0,"triangle,3,4,5"
4,1,SortieRequest6,TankerLoad,300000,310000,tanker,4,4,1.0,"triangle,4,5,6"
4,1,SortieRequest7,BomberLoad,350000,360000,bomber,2,2,1.0,"triangle,6,8,12"
4,1,SortieRequest7,FighterLoad1,350000,360000,fighter,8,8,1.0,"triangle,5,6,8"
4,1,SortieRequest7,TankerLoad,350000,360000,tanker,4,6,0.6666666666666666,"triangle,4,5,6"
